gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	log2FoldChange_shrunk	lfcSE_shrunk
ENSG00000060718.22	COL11A1	3032.12581357885	-6.01809294731373	0.143946269238016	-41.8079119324918	0	0	-6.01124421067195	0.144348768775505
ENSG00000162733.19	DDR2	3091.08195054864	-4.56179407322446	0.118825797049738	-38.3906036103842	0	0	-4.55583906489231	0.118930236221349
ENSG00000115461.5	IGFBP5	11212.5571391955	-5.76433683828409	0.116454300938168	-49.4987028546475	0	0	-5.75911575993927	0.116494536511959
ENSG00000114019.15	AMOTL2	2019.54685634824	-6.0095226363777	0.155620029559684	-38.6166398591572	0	0	-6.00163006684174	0.155167941745007
ENSG00000154678.18	PDE1C	4047.16771610077	-4.15713404972837	0.110703728680828	-37.5518882630761	0	0	-4.15145637208607	0.110804498017714
ENSG00000137801.11	THBS1	12511.1987544271	-5.20328855246529	0.11252976896615	-46.2392182999194	0	0	-5.19871136457255	0.112591235572803
ENSG00000177706.9	FAM20C	2945.4527563232	-4.51512067029206	0.121184873528662	-37.2581209091593	7.82795314041006e-304	2.64998579383282e-300	-4.50873995279462	0.121297556002974
ENSG00000109265.15	CRACD	2460.36905552721	6.74729269167358	0.18559352428006	36.3552161523262	2.17349596549142e-289	6.43816673678128e-286	6.73783328538984	0.185327952034463
ENSG00000238133.6	MAP3K20-AS1	1818.51943544964	6.37667430654692	0.181487576761919	35.1355967186229	1.9291552191261e-270	5.07946569195902e-267	6.36630321260348	0.181482209709866
ENSG00000184939.16	ZFP90	8751.16611625349	3.95540148503706	0.113698939100126	34.7883763590252	3.64583542011762e-265	8.63953619505272e-262	3.95038189578205	0.113772708053734
ENSG00000173334.4	TRIB1	4543.54324966048	4.14598791306089	0.119671524968527	34.6447320208483	5.36224430056313e-263	1.15517366536768e-259	4.13983420822437	0.119620639855289
ENSG00000259207.10	ITGB3	1559.69139407252	-4.28603611935924	0.125710191074041	-34.094579625886	8.87493130115981e-255	1.75257705869653e-251	-4.27896249613555	0.125790907925555
ENSG00000137962.13	ARHGAP29	5143.50866832426	-3.62725110476466	0.106920670435592	-33.9246947291607	2.88113877507789e-252	5.25187273484774e-249	-3.62140461173164	0.106983644550705
ENSG00000118523.6	CCN2	1824.14900593273	-7.83979010769469	0.232646150815968	-33.6983443749141	6.112663553868e-249	1.03465563025721e-245	-7.82491569042566	0.232697459861356
ENSG00000038427.16	VCAN	13488.1501843207	-3.381204810752	0.105374085789857	-32.0876312748751	6.55979742222411e-226	1.03631679676296e-222	-3.375097912977	0.105452660292273
ENSG00000178031.18	ADAMTSL1	1720.47540486533	-4.28855271642199	0.133881082183438	-32.0325519220557	3.84178999513594e-225	5.68993109467102e-222	-4.28028415341027	0.134049070636177
ENSG00000101871.18	MID1	1130.20306264602	-4.18642460898964	0.131620712746654	-31.8067310351658	5.22453474351871e-222	7.28269410689194e-219	-4.17862483931452	0.131681524458818
ENSG00000140937.14	CDH11	4423.05347442534	-3.55104362106362	0.112045041344867	-31.6930011220556	1.939984659352e-220	2.5539898040369e-217	-3.54437889088473	0.112150829730048
ENSG00000154175.19	ABI3BP	2495.24539142385	-3.96477429001184	0.125317170787958	-31.6379173347314	1.11191582539987e-219	1.38679312181582e-216	-3.95756616580666	0.125448911935242
ENSG00000136842.14	TMOD1	1186.70935150711	5.20848014161094	0.165021428501902	31.5624473069624	1.21015634304888e-218	1.43385374306147e-215	5.19930957959888	0.16496546616766
ENSG00000287080.2	H3C3	903.320550515247	-5.83571193011493	0.185034201928119	-31.5385581114455	2.57338292822913e-218	2.90387882144027e-215	-5.82423134723793	0.185058264195572
ENSG00000162496.9	DHRS3	3268.81812126598	-3.44810917670743	0.10941619172751	-31.5137012380637	5.63867571586247e-218	6.07362265630877e-215	-3.44180827740294	0.109462977439014
ENSG00000148773.14	MKI67	3651.63408810134	-3.60367146523912	0.114850756711469	-31.3769936604977	4.16882844892831e-216	4.29516207627192e-213	-3.59691838649355	0.114935130685424
ENSG00000241743.4	ENSG00000241743.4	4949.16436422013	5.88639723719529	0.189607197359685	31.0452204302604	1.32356353436324e-211	1.30685354474191e-208	5.87415973066289	0.190357914652351
ENSG00000197702.14	PARVA	748.4002612137	-5.17144209361457	0.166624483576999	-31.0365078564507	1.73508025267975e-211	1.64464786991008e-208	-5.16105611674957	0.166839384143175
